,links
17,https://www.amazon.ae/Beautiful-Classic-Oxidized-Finishing-Piercing/dp/B0837NCX9N/ref=sr_1_18?qid=1686556425&s=fashion&sr=1-18
18,https://www.amazon.ae/ROSENICE-Necklace-Adjustable-Heart-Shaped-Accessories/dp/B07YXVXBCV/ref=sr_1_19?qid=1686556425&s=fashion&sr=1-19
19,https://www.amazon.ae/Crystal-Necklaces-Necklace-Hexagonal-Gemstone/dp/B09Y2RXRGD/ref=sr_1_20?qid=1686556425&s=fashion&sr=1-20
20,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfbXRmX2Jyb3dzZToyMDE2NzA5Njc5NTU5ODo6MDo6&url=%2FBracelet-bracelet-Stainless-Zirconia-Adjustable%2Fdp%2FB0BC1TC9GM%2Fref%3Dsr_1_21_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
21,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfbXRmX2Jyb3dzZToyMDE2NzA5Njc5NTE5ODo6MDo6&url=%2FBracelets-Zirconia-Classic-Adjustable-Bracelet%2Fdp%2FB0BWW45WHH%2Fref%3Dsr_1_22_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
22,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfbXRmX2Jyb3dzZToyMDEyMDcwMzU1NTE5ODo6MDo6&url=%2FEstele-Plated-Chunky-Boxes-Bracelet%2Fdp%2FB08CZXZRJJ%2Fref%3Dsr_1_23_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
23,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfbXRmX2Jyb3dzZToyMDE2MTM0NzAwNTg5ODo6MDo6&url=%2FRINGJEWEL-Silver-Moissanite-Earrings-Clarity%2Fdp%2FB0765RVRH6%2Fref%3Dsr_1_24_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
24,https://www.amazon.ae/Luxury-Fashion-Jewelry-Bracelet-Stainless/dp/B0B7GWRN78/ref=sr_1_25?qid=1686556425&s=fashion&sr=1-25
25,https://www.amazon.ae/f3-Unisex-Bracelet-Black-Free-Size/dp/B07MCMPJFM/ref=sr_1_26?qid=1686556425&s=fashion&sr=1-26
26,https://www.amazon.ae/Adjustable-Waterproof-Friendship-Relationship-Girlfriend/dp/B09T9JK71D/ref=sr_1_27?qid=1686556425&s=fashion&sr=1-27
27,https://www.amazon.ae/Yellow-Elegant-Butterfly-Crystal-Earrings/dp/B08F72TYQY/ref=sr_1_28?qid=1686556425&s=fashion&sr=1-28
28,https://www.amazon.ae/Shoulder-Cascade-Bachelorette-Decorations-Supplies/dp/B07MWJG26H/ref=sr_1_29?qid=1686556425&s=fashion&sr=1-29
29,https://www.amazon.ae/Yellow-Chimes-Oxidized-Chandbali-Earring/dp/B07MCCN1YY/ref=sr_1_30?qid=1686556425&s=fashion&sr=1-30
30,https://www.amazon.ae/Necklace-Preserved-Girlfriend-Valentines-Anniversary/dp/B0BBH31NHS/ref=sr_1_31?qid=1686556425&s=fashion&sr=1-31
31,https://www.amazon.ae/Ricjurzzty-Butterfly-Necklaces-Friendship-Necklace/dp/B0B57HTCDH/ref=sr_1_32?qid=1686556425&s=fashion&sr=1-32
32,https://www.amazon.ae/Necklace-Pendant-Friendship-Birthday-Valentine/dp/B0BHZBBT97/ref=sr_1_33?qid=1686556425&s=fashion&sr=1-33
33,https://www.amazon.ae/ORiTi-Surgical-Stainless-Earrings-Hypoallergenic/dp/B09F8PVGCL/ref=sr_1_34?qid=1686556425&s=fashion&sr=1-34
34,https://www.amazon.ae/Silver-Friendship-Necklace-friends-forever/dp/B07NDPGWKN/ref=sr_1_35?qid=1686556425&s=fashion&sr=1-35
35,https://www.amazon.ae/Piercing-Disposable-Earring-Contain-Supplies/dp/B0BFJ6HL1Q/ref=sr_1_36?qid=1686556425&s=fashion&sr=1-36
36,https://www.amazon.ae/Designer-Zirconia-Bracelet-350Swan-Ycfjbr-350Swan-Bl/dp/B0786J5WVJ/ref=sr_1_37?qid=1686556425&s=fashion&sr=1-37
37,https://www.amazon.ae/Swarovski-Elements-Sterling-Pendent-Necklace/dp/B07MG8RT4Y/ref=sr_1_38?qid=1686556425&s=fashion&sr=1-38
38,https://www.amazon.ae/Yellow-Chimes-Earrings-Silver-Stainless/dp/B07V6XZGXC/ref=sr_1_39?qid=1686556425&s=fashion&sr=1-39
39,https://www.amazon.ae/Choker-Necklaces-Velvet-Stretch-Necklace/dp/B07MX6HTHD/ref=sr_1_40?qid=1686556425&s=fashion&sr=1-40
40,https://www.amazon.ae/Estele-plated-round-shaped-earrings/dp/B08CQ7VGGL/ref=sr_1_41?qid=1686556425&s=fashion&sr=1-41
41,https://www.amazon.ae/Fazza-Wristband-Bangle-Bracelet-Unisex/dp/B08Z9XLPMH/ref=sr_1_42?qid=1686556425&s=fashion&sr=1-42
42,https://www.amazon.ae/Jaffiust-Layered-Rhinestone-Festive-Accessory/dp/B09ZGXZYK5/ref=sr_1_43?qid=1686556425&s=fashion&sr=1-43
43,https://www.amazon.ae/Yellow-Chimes-Oxidised-Adjustable-Anklets/dp/B089KM3BWL/ref=sr_1_44?qid=1686556425&s=fashion&sr=1-44
44,https://www.amazon.ae/Rhinestone-Butterfly-Snowflake-Non-Piercing-Earrings/dp/B0B4FJ852D/ref=sr_1_45?qid=1686556425&s=fashion&sr=1-45
45,https://www.amazon.ae/Crystal-Pandora-Elements-Bracelet-Valentines/dp/B07NDQMN6X/ref=sr_1_46?qid=1686556425&s=fashion&sr=1-46
46,https://www.amazon.ae/DESIMTION-Mothers-Daughter-Bracelets-Matching/dp/B08Z3P6WLY/ref=sr_1_47?qid=1686556425&s=fashion&sr=1-47
47,https://www.amazon.ae/Yellow-Elegant-Crystal-Stylish-Earrings/dp/B07Q3GJVXD/ref=sr_1_48?qid=1686556425&s=fashion&sr=1-48
48,https://www.amazon.ae/Fashion-Korean-Earrings-Titanium-Magnet/dp/B07MWYFQ76/ref=sr_1_49?qid=1686556425&s=fashion&sr=1-49
49,https://www.amazon.ae/Multilayer-Bracelets-KASTWAVE-Crystal-Bracelet/dp/B09K3GBL4S/ref=sr_1_50?qid=1686556425&s=fashion&sr=1-50
50,https://www.amazon.ae/Bracelet-Friendship-Bracelets-Adjustable-Multicolore/dp/B0B3LN1533/ref=sr_1_51?qid=1686556425&s=fashion&sr=1-51
51,https://www.amazon.ae/ELECDON-Headband-Rhinestone-Headbands-Accessories/dp/B09HBYNJ4B/ref=sr_1_52?qid=1686556425&s=fashion&sr=1-52
52,https://www.amazon.ae/Stainless-Steel-Belly-Button-Piercing/dp/B07MVP7LJX/ref=sr_1_53?qid=1686556425&s=fashion&sr=1-53
53,https://www.amazon.ae/Bivei-Natural-Precious-Gemstone-Bracelet/dp/B08Q7XGRL4/ref=sr_1_54?qid=1686556425&s=fashion&sr=1-54
54,https://www.amazon.ae/FASHIONEEDA-Strongest-Commercial-Accessories-Shape-Set/dp/B09R63KXT5/ref=sr_1_55?qid=1686556425&s=fashion&sr=1-55
55,https://www.amazon.ae/Personality-Design-Crystal-Pendant-Necklace/dp/B07MG7FR46/ref=sr_1_56?qid=1686556425&s=fashion&sr=1-56
56,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYnRmX2Jyb3dzZToyMDE2MTM0NzAwNTU5ODo6MDo6&url=%2FRINGJEWEL-Moissanite-Solitaire-Engagement-Silver%2Fdp%2FB06XYNP82Q%2Fref%3Dsr_1_57_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
57,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYnRmX2Jyb3dzZToyMDEyMDcwMzU1NDk5ODo6MDo6&url=%2FEstele-Toned-Bangle-Bracelet-Women%2Fdp%2FB08CSD5Z7D%2Fref%3Dsr_1_58_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
58,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYnRmX2Jyb3dzZToyMDEyMDcwMzU1NTU5ODo6MDo6&url=%2FEstele-plated-Heart-Shaped-Necklace%2Fdp%2FB08D8768YH%2Fref%3Dsr_1_59_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
59,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYnRmX2Jyb3dzZToyMDEyMDcwMzU1MzM5ODo6MDo6&url=%2FEstele-Bangle-Metal-Brass-Bracelet%2Fdp%2FB08CSH5YVW%2Fref%3Dsr_1_60_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
60,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo0Nzk4Mjg3MzkzMjQwNzk5OjE2ODY1NTY0MzU6c3BfYXRmX2Jyb3dzZToyMDE0ODgzMjkwOTI5ODo6MDo6&url=%2FMothers-Necklace-Women%25EF%25BC%258CMothers-Remember-Daughters%2Fdp%2FB0BZQ1VGG8%2Fref%3Dsr_1_49_sspa%3Fqid%3D1686556435%26s%3Dfashion%26sr%3D1-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
61,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo0Nzk4Mjg3MzkzMjQwNzk5OjE2ODY1NTY0MzU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NTA5ODo6MDo6&url=%2FBracelet-Adjustable-Friendship-Fashion-Birthday%2Fdp%2FB0BX82DF2C%2Fref%3Dsr_1_50_sspa%3Fqid%3D1686556435%26s%3Dfashion%26sr%3D1-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
62,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo0Nzk4Mjg3MzkzMjQwNzk5OjE2ODY1NTY0MzU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NDk5ODo6MDo6&url=%2FBracelets-Bracelet-Exquisite-Fashion-Birthday%2Fdp%2FB0C369YNNG%2Fref%3Dsr_1_51_sspa%3Fqid%3D1686556435%26s%3Dfashion%26sr%3D1-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1%26smid%3DA1AYTBNTE0T6K9
63,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo0Nzk4Mjg3MzkzMjQwNzk5OjE2ODY1NTY0MzU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NTM5ODo6MDo6&url=%2FBracelets-Zirconia-Classic-Adjustable-Bracelet%2Fdp%2FB0BS12TPF6%2Fref%3Dsr_1_52_sspa%3Fqid%3D1686556435%26s%3Dfashion%26sr%3D1-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
64,https://www.amazon.ae/Shonyin-Bracelet-Kabbalah-Protection-Bracelets/dp/B08FY55T83/ref=sr_1_53?qid=1686556435&s=fashion&sr=1-53
65,https://www.amazon.ae/Butterfly-Earrings-Flowers-Earring-Piercing/dp/B0BLJWVFHP/ref=sr_1_54?qid=1686556435&s=fashion&sr=1-54
66,https://www.amazon.ae/PAMP-BAR-SUISSE-24K-5GM/dp/B0BQZY4CQV/ref=sr_1_55?qid=1686556435&s=fashion&sr=1-55
67,https://www.amazon.ae/Handmade-Bracelets-Aesthetic-Bracelet-Accessories/dp/B0BXWSK4WX/ref=sr_1_56?qid=1686556435&s=fashion&sr=1-56
68,https://www.amazon.ae/Bracelets-Braided-Friendship-Adjustable-Bracelet/dp/B09W45FKWX/ref=sr_1_57?qid=1686556435&s=fashion&sr=1-57
69,https://www.amazon.ae/Youbella-WomenS-Plated-Earrings-Jewellery/dp/B08KLNWGJL/ref=sr_1_58?qid=1686556435&s=fashion&sr=1-58
70,https://www.amazon.ae/Friendship-Necklaces-Best-Friends-Forever/dp/B09WRLDBVY/ref=sr_1_59?qid=1686556435&s=fashion&sr=1-59
71,https://www.amazon.ae/YAZILIND-Colorful-Festival-Necklace-Gemstone/dp/B07W6YTSVH/ref=sr_1_60?qid=1686556435&s=fashion&sr=1-60
72,https://www.amazon.ae/Bracelet-Adjustable-Friendship-Boyfriend-Girlfriend/dp/B09WRLBQPB/ref=sr_1_61?qid=1686556435&s=fashion&sr=1-61
73,https://www.amazon.ae/Crown-Bracelet-Black-Matte-Adjustable/dp/B07MWYPMFZ/ref=sr_1_62?qid=1686556435&s=fashion&sr=1-62
74,https://www.amazon.ae/ORiTi-Surgical-Stainless-Hypoallergenic-Cartilage/dp/B0999RN1TR/ref=sr_1_63?qid=1686556435&s=fashion&sr=1-63
75,https://www.amazon.ae/Best-Friends-Gift-Necklace-Set/dp/B07MG5C6RQ/ref=sr_1_64?qid=1686556435&s=fashion&sr=1-64
76,https://www.amazon.ae/Charming-Butterfly-Surgical-Earrings-Ycfjer-283Btrf-Rg/dp/B01LWQUG8X/ref=sr_1_65?qid=1686556435&s=fashion&sr=1-65
77,https://www.amazon.ae/Exquisite-Signature-Silicon-Stainless-Bracelet/dp/B07TW5VH28/ref=sr_1_66?qid=1686556435&s=fashion&sr=1-66
78,https://www.amazon.ae/Friendship-Adjustable-Hand-Woven-Protection-Jewelry-Black/dp/B088K8C1CK/ref=sr_1_67?qid=1686556435&s=fashion&sr=1-67
79,https://www.amazon.ae/Zaveri-Pearls-Jewellery-Golden-Zpfk6989/dp/B07C2389CW/ref=sr_1_68?qid=1686556435&s=fashion&sr=1-68
80,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo0Nzk4Mjg3MzkzMjQwNzk5OjE2ODY1NTY0MzU6c3BfbXRmX2Jyb3dzZToyMDE2NzA5Njc5NTU5ODo6MDo6&url=%2FBracelet-bracelet-Stainless-Zirconia-Adjustable%2Fdp%2FB0BC1TC9GM%2Fref%3Dsr_1_69_sspa%3Fqid%3D1686556435%26s%3Dfashion%26sr%3D1-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
81,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo0Nzk4Mjg3MzkzMjQwNzk5OjE2ODY1NTY0MzU6c3BfbXRmX2Jyb3dzZToyMDE2NzA5Njc5NTE5ODo6MDo6&url=%2FBracelets-Zirconia-Classic-Adjustable-Bracelet%2Fdp%2FB0BWW45WHH%2Fref%3Dsr_1_70_sspa%3Fqid%3D1686556435%26s%3Dfashion%26sr%3D1-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
82,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo0Nzk4Mjg3MzkzMjQwNzk5OjE2ODY1NTY0MzU6c3BfbXRmX2Jyb3dzZToyMDEyMDcwMzU1NTE5ODo6MDo6&url=%2FEstele-Plated-Chunky-Boxes-Bracelet%2Fdp%2FB08CZXZRJJ%2Fref%3Dsr_1_71_sspa%3Fqid%3D1686556435%26s%3Dfashion%26sr%3D1-71-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
83,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo0Nzk4Mjg3MzkzMjQwNzk5OjE2ODY1NTY0MzU6c3BfbXRmX2Jyb3dzZToyMDE2MTM0NzAwNTg5ODo6MDo6&url=%2FRINGJEWEL-Silver-Moissanite-Earrings-Clarity%2Fdp%2FB0765RVRH6%2Fref%3Dsr_1_72_sspa%3Fqid%3D1686556435%26s%3Dfashion%26sr%3D1-72-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
84,https://www.amazon.ae/Simple-Pendant-Necklace-Choker-Valentines/dp/B0B81VKKZ6/ref=sr_1_73?qid=1686556435&s=fashion&sr=1-73
85,https://www.amazon.ae/Necklace-Artificial-Girlfriend-Birthday-Anniversary/dp/B093771JLS/ref=sr_1_74?qid=1686556435&s=fashion&sr=1-74
86,https://www.amazon.ae/YouBella-Earrings-Jewellery-Kashmiri-YBEAR_32197/dp/B07KNBGYJ2/ref=sr_1_75?qid=1686556435&s=fashion&sr=1-75
87,https://www.amazon.ae/Yellow-Piercing-Stylish-Stainless-Earrings/dp/B07CTN7RK4/ref=sr_1_76?qid=1686556435&s=fashion&sr=1-76
88,https://www.amazon.ae/Yellow-Chimes-Trendy-Stainless-Earrings/dp/B07CTNMVP2/ref=sr_1_77?qid=1686556435&s=fashion&sr=1-77
89,https://www.amazon.ae/Elegant-Fashion-Crystal-designer-Earrings/dp/B07T41QT3R/ref=sr_1_78?qid=1686556435&s=fashion&sr=1-78
90,https://www.amazon.ae/DESIMTION-Multilayer-Christmas-Wristbands-Bracelets/dp/B07HHVPPRJ/ref=sr_1_79?qid=1686556435&s=fashion&sr=1-79
91,https://www.amazon.ae/Shining-Diva-Fashion-Bracelet-9576b/dp/B078KWDF1N/ref=sr_1_80?qid=1686556435&s=fashion&sr=1-80
92,https://www.amazon.ae/Piercing-Stainless-Steel-Machines-Earrings/dp/B09XK4ZPL7/ref=sr_1_81?qid=1686556435&s=fashion&sr=1-81
93,https://www.amazon.ae/Joyalukkas-GOLD-COIN-2022B4G-4GM/dp/B07TWMJ39Q/ref=sr_1_82?qid=1686556435&s=fashion&sr=1-82
94,https://www.amazon.ae/Yellow-Platinum-Classic-Crystal-Adjustable/dp/B07DW8GY9N/ref=sr_1_83?qid=1686556435&s=fashion&sr=1-83
95,https://www.amazon.ae/Swarovski-Elements-Sterling-Crystal-Earrings/dp/B07MCLMT1V/ref=sr_1_84?qid=1686556435&s=fashion&sr=1-84
96,https://www.amazon.ae/Apsvo-Earrings-Lightweight-Waterdrop-Hypoallergenic/dp/B0BWXTBK53/ref=sr_1_85?qid=1686556435&s=fashion&sr=1-85
97,https://www.amazon.ae/Yellow-Handmade-Stylish-Necklace-YCFJNK-153SHELL-WH/dp/B07X7PKYW5/ref=sr_1_86?qid=1686556435&s=fashion&sr=1-86
98,https://www.amazon.ae/Necklace-Constellation-Necklaces-Jewelry-Horoscope/dp/B09CTKNR21/ref=sr_1_87?qid=1686556435&s=fashion&sr=1-87
99,https://www.amazon.ae/White-Plated-Zirconia-Tennis-Bracelet/dp/B07WV1Q68D/ref=sr_1_88?qid=1686556435&s=fashion&sr=1-88
100,https://www.amazon.ae/Zaveri-Pearls-Contemporary-Earrings-Zpfk9516/dp/B08F4ZQ57T/ref=sr_1_89?qid=1686556435&s=fashion&sr=1-89
101,https://www.amazon.ae/KASTWAVE-Sterling-Zirconia-Sparkling-Earrings/dp/B09DPKLNK4/ref=sr_1_90?qid=1686556435&s=fashion&sr=1-90
102,https://www.amazon.ae/Goodern-Bracelets-Stainless-Adjustable-Bracelets-Black/dp/B0BBQ2DQ1Y/ref=sr_1_91?qid=1686556435&s=fashion&sr=1-91
103,https://www.amazon.ae/Estele-Plated-Flower-Shaped-Earrings/dp/B08CQ6B1QH/ref=sr_1_92?qid=1686556435&s=fashion&sr=1-92
104,https://www.amazon.ae/Swarovski-Rose-gold-Pierced-Earrings-5299317/dp/B07357MVSC/ref=sr_1_93?qid=1686556435&s=fashion&sr=1-93
105,https://www.amazon.ae/Stainless-Earrings-Hypoallergenic-Huggie-Silver/dp/B0B93RLTQ3/ref=sr_1_94?qid=1686556435&s=fashion&sr=1-94
106,https://www.amazon.ae/Beautiful-Clearance-Sale-Sterling-Rhinestones/dp/B07S94SHX9/ref=sr_1_95?qid=1686556435&s=fashion&sr=1-95
107,https://www.amazon.ae/SAILIMUE-Hypoallergenic-Stainless-Butterfly-Screwback/dp/B0BBSKM3HW/ref=sr_1_96?qid=1686556435&s=fashion&sr=1-96
108,https://www.amazon.ae/REVHQ-Bracelet-Fashion-Elegant-Bracelet/dp/B0BLZ4PTBT/ref=sr_1_97?qid=1686556435&s=fashion&sr=1-97
109,https://www.amazon.ae/Stylish-Bohemian-Multicolour-Multilayer-Bracelet/dp/B0791BF9WL/ref=sr_1_98?qid=1686556435&s=fashion&sr=1-98
110,https://www.amazon.ae/YouBella-Necklace-Jewellery-Multi-colour-YBNK_5659/dp/B07W3MBJBM/ref=sr_1_99?qid=1686556435&s=fashion&sr=1-99
111,https://www.amazon.ae/Shining-Diva-Fashion-Multilayer-10695b/dp/B07RWK1SFQ/ref=sr_1_100?qid=1686556435&s=fashion&sr=1-100
112,https://www.amazon.ae/Zaveri-Pearls-Contemporary-Strand-ZPFK9522/dp/B08F3DFCR8/ref=sr_1_101?qid=1686556435&s=fashion&sr=1-101
113,https://www.amazon.ae/Hermione-Hourglass-Pendant-Necklace-item_name/dp/B07NVQ5RM5/ref=sr_1_102?qid=1686556435&s=fashion&sr=1-102
114,https://www.amazon.ae/Hand-Made-Bracelet-Adjustable-Kabbalah-Protection/dp/B09VBBWVJ9/ref=sr_1_103?qid=1686556435&s=fashion&sr=1-103
115,https://www.amazon.ae/Goodern-Adjustable-Princess-Accessories-Duplication/dp/B09KZG9SS8/ref=sr_1_104?qid=1686556435&s=fashion&sr=1-104
116,https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo0Nzk4Mjg3MzkzMjQwNzk5OjE2ODY1NTY0MzU6c3BfYnRmX2Jyb3dzZToyMDE2MTM0NzAwNTU5ODo6MDo6&url=%2FRINGJEWEL-Moissanite-Solitaire-Engagement-Silver%2Fdp%2FB06XYNP82Q%2Fref%3Dsr_1_105_sspa%3Fqid%3D1686556435%26s%3Dfashion%26sr%3D1-105-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
